start_time,end_time,bucket_start,bucket_end,text,sentiment
0.0,13.36,0,5," Okay, so the drive you're going to complete and use the E-cautomation and the object detection",positive
13.36,17.400000000000002,10,15," system so that it will not be to operate the vehicle, so keep your hands off this steering",neutral
17.400000000000002,19.88,15,20, wheel and meet off the pedals and punch me in that drive.,neutral
19.88,20.88,15,20, Okay.,positive
20.88,23.8,20,25," So when you see that some driver in the caterer highlight green, make sure you don't get",positive
23.8,26.560000000000002,20,25, to break at any point during the drive.,neutral
26.56,30.659999999999997,25,30," This dot, the car cab look out will have the ODS for getting visual feedback for targets",neutral
30.659999999999997,31.66,30,35, that are in the environment.,neutral
31.66,35.64,30,35," So the car cab look out should pay attention to that screen, take them and wind out",negative
35.64,36.64,35,40, steering condition.,neutral
36.64,43.64,35,40, Remember to tap the targets on that ODS as well as completing those workstation tasks.,positive
43.64,48.64,40,45," All right, so all drivers, click your foot on the brake.",neutral
48.64,53.480000000000004,45,50, Do not remove your foot from the brake until I instruct you to remove it.,neutral
53.48,63.48,50,55, You can start the car.,neutral
63.48,66.96,60,65, You drove through me.,neutral
66.96,73.96,65,70, I'm going to drive.,neutral
73.96,77.96,70,75, Car cab driver.,neutral
77.96,80.96,75,80, Car cab driver and only the car cab driver.,neutral
80.96,81.96,80,85, Yes.,positive
81.96,82.96,80,85, Right.,neutral
82.96,85.96,80,85, Make sure everyone isn't drive.,positive
85.96,87.96,85,90, I am now in drive.,neutral
87.96,89.96,85,90, Car cab driver and only the car cab driver.,neutral
89.96,92.96,85,90, Maybe you can move forward.,neutral
93.96,99.96,90,95, As I drove through.,neutral
99.96,102.96,95,100, We now have some driver on.,neutral
102.96,107.96,100,105, First on the scooter.,neutral
107.96,110.96,105,110, What color skater?,neutral
110.96,112.96,110,115, A crossbody bag.,neutral
112.96,113.96,110,115, Scooter.,neutral
113.96,119.96,110,115," Yeah, has a crossbody bag.",positive
119.96,126.96,115,120, I see scooters on both sides of the road.,neutral
126.96,133.95999999999998,125,130, Not motorcycles.,neutral
133.95999999999998,138.95999999999998,130,135," Oh, yeah, that's on the other side of the road.",positive
138.95999999999998,145.95999999999998,135,140, Passing now.,neutral
145.96,152.96,145,150, I'm going to drive.,neutral
152.96,157.96,150,155, Do you have any target?,neutral
157.96,159.96,155,160," No, yeah.",neutral
159.96,162.96,155,160," I hit no good, I didn't fight, but.",positive
162.96,163.96,160,165," Yes, Paul.",positive
163.96,167.96,160,165, There was motorcycle.,neutral
167.96,169.96,165,170, It was motorcyclist.,neutral
169.96,170.96,165,170, It was a car.,neutral
170.96,174.96,170,175," It's kind of, there's a box on the roof.",neutral
174.96,179.96,170,175, Passing now.,neutral
179.96,181.96,175,180," Yeah, we're also passing now.",positive
181.96,188.96,180,185, Car one.,neutral
188.96,193.96,185,190, Why is a car three so far behind car two?,neutral
193.96,200.96,190,195, Yes.,positive
200.96,213.96,200,205, Is the ODS working?,neutral
213.96,214.96,210,215, Yes.,positive
214.96,219.96,210,215, Sometimes they have a green butt there.,neutral
219.96,225.96,215,220," No, you won't see anything, but that I should see something in the passenger seat.",negative
225.96,229.96,225,230, It should be a wide car right now.,neutral
229.96,232.96,225,230, A wide car.,neutral
232.96,237.96,230,235, SUV like a king.,positive
237.96,241.96,235,240," Yes, you.",positive
241.96,248.96,240,245, Is it a camel?,neutral
248.96,254.96,245,250," Yes, it's a car.",positive
254.96,259.96000000000004,250,255, There's a driving white car on the left.,neutral
259.96000000000004,263.96000000000004,255,260," Passing now, I think that was it.",neutral
263.96000000000004,268.96000000000004,260,265, We have another white SUV.,neutral
268.96000000000004,275.96000000000004,265,270, Passing that one left now.,neutral
275.96,282.96,275,280, Passing the military checkpoint.,neutral
282.96,289.96,280,285, There really was a truck.,neutral
289.96,295.96,285,290, I know it was a time on the truck.,neutral
295.96,302.96,295,300, I'm wondering if it's not like model.,negative
302.96,309.96,300,305, Yeah.,positive
309.96,313.96,305,310, Yeah.,positive
313.96,318.96,310,315," Jack, do you feel like this is giving you enough to understand or do you want to continue?",positive
318.96,321.96,315,320," Yeah, I think is.",positive
321.96,323.96,320,325, How about you come in there?,neutral
323.96,324.96,320,325, I think he's enough.,neutral
324.96,329.96,320,325," I mean, I'm having fun, but we can stop if you want to.",negative
329.96,332.96,325,330," Yeah, we can kill it.",negative
332.96,338.96,330,335, All drivers will both be put your foot on the brake.,neutral
338.96,339.96,335,340, Okay.,positive
339.96,347.96,335,340, Commander breaking out.,neutral
347.96,348.96,345,350, Please don't run through it.,positive
348.96,351.96,345,350, No.,negative
351.96,354.96,350,355, We've been rear-ended.,neutral
354.96,357.96,350,355, In park now.,neutral
